Old_Range,Old_ExtraAffectResult,New_Damage,New_FullRangeDescription,Old_WasEditedForGame,New_NumOfTurns,Old_NumOfTargets,Old_LengthOfBonusAffect,Old_FullRangeDescription,New_LengthOfExtraAffect,Old_Damage,New_ContributedBy,Old_NumOfTurns,New_LengthOfBonusAffect,Old_AttackCategory,Old_AccuracyBonusType,Old_AC,New_AccuracyBonusType,New_ElementType,New_ContestStats,Old_AccuracyBonusResult,Old_ContributedBy,New_WasEditedForGame,AttackName,New_NumOfTargets,New_Category,New_AC,Old_AccuracyCheckBonus,New_AttackEffects,Old_ExtraAffectType,Old_ContestStats,New_Frequency,New_AccuracyCheckBonus,New_ExtraAffectType,Old_Frequency,Old_LengthOfExtraAffect,New_Range,New_AttackCategory,New_ExtraAffectResult,New_AccuracyBonusResult,Old_ElementType,Old_Category,Old_AttackEffects
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Normal,Cute - 2d4 - Scrambler,,,0,Metronome, No Target,Effect,0,,"Metronome randomly uses any other Move except for After You, Assist, Bestow, Copycat, Counter, Covet, Destiny Bond, Detect, Endure, Feint, Focus Punch, Follow Me, Helping Hand, Metronome, Me First, Mimic, Mirror Coat, Mirror Move, Protect, Quash, Quick Guard, Rage Powder, Sketch, Sleep Talk, Snatch, Snore, Switcheroo, Thief, Transform, Trick, Wide Guard. The GM helps to pick the random Move.",,Cute - 2d4 - Scrambler,Battle,,,Battle,,Self,,,,Normal,Effect,"Metronome randomly uses any other Move except for After You, Assist, Bestow, Copycat, Counter, Covet, Destiny Bond, Detect, Endure, Feint, Focus Punch, Follow Me, Helping Hand, Metronome, Me First, Mimic, Mirror Coat, Mirror Move, Protect, Quash, Quick Guard, Rage Powder, Sketch, Sleep Talk, Snatch, Snore, Switcheroo, Thief, Transform, Trick, Wide Guard. The GM helps to pick the random Move."
Melee,,-,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,-,,,,,,0,,Normal,Cute - None - Reflective Appeal,,,0,Milk Drink, 1 Target,Effect,0,,The target regains HP equal to half of its full HP. The user may target themselves with Milk Drink.,,Cute - None - Reflective Appeal,Center,,,Center,,Melee,,,,Normal,Effect,The target regains HP equal to half of its full HP. The user may target themselves with Milk Drink.
Ranged (15),,-,"Ranged (15), 1 Target",0,, 1 Target,,"Ranged (15), 1 Target",,-,,,,,,0,,Normal,Cute - None - Attention Grabber,,,0,Mimic, 1 Target,Effect,0,,"Choose a Move that the target has used during the encounter. For the remainder of the encounter, that Move replaces Mimic on the user's Move List. Mimic cannot miss.",,Cute - None - Attention Grabber,Battle,,,Battle,,Ranged (15),,,,Normal,Effect,"Choose a Move that the target has used during the encounter. For the remainder of the encounter, that Move replaces Mimic on the user's Move List. Mimic cannot miss."
Ranged (10),,-,"Ranged (10), 1 Target",0,, 1 Target,,"Ranged (10), 1 Target",,-,,,,,,0,,Normal,Smart - 1d4 - Good Show!,,,0,Mind Reader, 1 Target,Effect,0,,"The target is Locked-On. The next Move that the User uses against the Target that requires an Accuracy Check cannot miss. Mind Reader''s effect, on both the User and Target, can be affected by Baton Pass.",,Smart - 1d4 - Good Show!,Center,,,Center,,Ranged (10),,,,Normal,Effect,"The target is Locked-On. The next Move that the User uses against the Target that requires an Accuracy Check cannot miss. Mind Reader''s effect, on both the User and Target, can be affected by Baton Pass."
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Normal,Cute - 2d4 - Hold That Thought,,,0,Minimize, No Target,Effect,0,,Foes need an additional +4 during Accuracy Check to hit Minimize's user and the user's size is Small for the remainder of the encounter. *Grants: Shrinkable,,Cute - 2d4 - Hold That Thought,Center,,,Center,,Self,,,,Normal,Effect,Foes need an additional +4 during Accuracy Check to hit Minimize's user and the user's size is Small for the remainder of the encounter. *Grants: Shrinkable
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Normal,Beauty - None - Reflective Appeal,,,0,Moonlight, No Target,Effect,0,,"The user regains HP equal to half of its full HP. If it is Sunny, the user gains 2/3 of its full HP. If it is Rainy, Sand Storming or Hailing the user gains 1/4 of their full HP.",,Beauty - None - Reflective Appeal,Center,,,Center,,Self,,,,Normal,Effect,"The user regains HP equal to half of its full HP. If it is Sunny, the user gains 2/3 of its full HP. If it is Rainy, Sand Storming or Hailing the user gains 1/4 of their full HP."
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Normal,Beauty - None - Reflective Appeal,,,0,Morning Sun, No Target,Effect,0,,"The user regains HP equal to half of its full HP. If it is Sunny, the user gains 2/3 of its full HP. If it is Rainy, Sand Storming or Hailing the user gains 1/4 of their full HP.",,Beauty - None - Reflective Appeal,Center,,,Center,,Self,,,,Normal,Effect,"The user regains HP equal to half of its full HP. If it is Sunny, the user gains 2/3 of its full HP. If it is Rainy, Sand Storming or Hailing the user gains 1/4 of their full HP."
Self,,,"Self, No Target",0,, No Target,,"Self, No Target",,,,,,,,See Effect,,Normal,Beauty - None - Reflective Appeal,,,0,Nature Power, No Target,Effect,See Effect,,"Nature Power uses a Move defined by Environ. If the Move's Frequency is Battle or Center, Nature Power may not be used for the remainder of the encounter. *Grants: Sprouter",,Beauty - None - Reflective Appeal,EOT,,,EOT,,Self,,,,Normal,Effect,"Nature Power uses a Move defined by Environ. If the Move's Frequency is Battle or Center, Nature Power may not be used for the remainder of the encounter. *Grants: Sprouter"
Ranged,,-,"Ranged, 1 Target",0,, 1 Target,,"Ranged, 1 Target",,-,,,,,,0,,Normal,Smart - 1d4 - Good Show!,,,0,Odor Sleuth, 1 Target,Effect,0,,The user's Normal-Type and Fighting-Type Moves can now hit and affect Ghost-Type targets. Odor Sleuth's user is unaffected by the effects of Moves which make them have to roll higher during Accuracy Checks to hit. Targets may not use their Speed stat to modify Accuracy Checks. Odor Sleuth's user can identify the real target using Double Team. *Grants: Tracker,,Smart - 1d4 - Good Show!,At-Will,,,At-Will,,Ranged,,,,Normal,Effect,The user's Normal-Type and Fighting-Type Moves can now hit and affect Ghost-Type targets. Odor Sleuth's user is unaffected by the effects of Moves which make them have to roll higher during Accuracy Checks to hit. Targets may not use their Speed stat to modify Accuracy Checks. Odor Sleuth's user can identify the real target using Double Team. *Grants: Tracker
Ranged (4),,-,"Ranged (4), 1 Target",0,, 1 Target,,"Ranged (4), 1 Target",,-,,,,,,0,,Normal,Smart - 2d4 - Unsettling,,,0,Pain Split, 1 Target,Effect,0,,"Add the user's and the target's current HP together and divide the value by 2, calling the result X. The user and target's HP are set to X. If X exceeds a target's or user's full HP, the excess is ignored and they are set to full HP.",,Smart - 2d4 - Unsettling,Battle,,,Battle,,Ranged (4),,,,Normal,Effect,"Add the user's and the target's current HP together and divide the value by 2, calling the result X. The user and target's HP are set to X. If X exceeds a target's or user's full HP, the excess is ignored and they are set to full HP."
Ranged (8),,1d12+6,"Ranged (8), 1 Target",0,, 1 Target,,"Ranged (8), 1 Target",,1d12+6,,,,,,2,,Normal,Smart - 1d4 - Catching Up,,,0,Pay Day, 1 Target,Physical,2,,"Pay Day scatters metal coins equal in value to 1d8 times the user's level. If it is a trainer battle, the winner of the battle gets to pick up the coins.",,Smart - 1d4 - Catching Up,Center,,,Center,,Ranged (8),,,,Normal,Physical,"Pay Day scatters metal coins equal in value to 1d8 times the user's level. If it is a trainer battle, the winner of the battle gets to pick up the coins."
Melee,,1d12+6,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,1d12+6,,,,,,2,,Normal,Tough - 3d4 - No Effect,,,0,Pound, 1 Target,Physical,2,,-,,Tough - 3d4 - No Effect,At-Will,,,At-Will,,Melee,,,,Normal,Physical,-
Ranged (8),,See Effect,"Ranged (8), 1 Target",0,, 1 Target,,"Ranged (8), 1 Target",,See Effect,,,,,,3,,Normal,Cute - None - Inversed Appeal,,,0,Present, 1 Target,Physical,3,,"Roll 1d4. On a result of 1, use 1d10+10 for Present's Damage Dice Roll; on a result of 2, use 2d10+10; on a result of 3, use 3d10+10; on a result of 4 the target is healed 65 HP.",,Cute - None - Inversed Appeal,EOT,,,EOT,,Ranged (8),,,,Normal,Physical,"Roll 1d4. On a result of 1, use 1d10+10 for Present's Damage Dice Roll; on a result of 2, use 2d10+10; on a result of 3, use 3d10+10; on a result of 4 the target is healed 65 HP."
Ranged (10),,-,"Ranged (10), 1 Target",0,, 1 Target,,"Ranged (10), 1 Target",,-,,,,,,0,,Normal,Smart - None - Get Ready!,,,0,Psych Up, 1 Target,Effect,0,,The user's Combat Stages are changed to match the target's Combat Stages. Psych Up cannot miss.,,Smart - None - Get Ready!,Battle,,,Battle,,Ranged (10),,,,Normal,Effect,The user's Combat Stages are changed to match the target's Combat Stages. Psych Up cannot miss.
Melee,,1d6+3,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,1d6+3,,,,,,2,,Normal,Cool - 2d4 - Round Starter,,,0,Rapid Spin, 1 Target,Physical,2,,"On hit, Rapid Spin destroys Hazards within 5 meters, removes Leech Seeds, and removes the user's Trapped status.",,Cool - 2d4 - Round Starter,At-Will,,,At-Will,,Melee,,,,Normal,Physical,"On hit, Rapid Spin destroys Hazards within 5 meters, removes Leech Seeds, and removes the user's Trapped status."
Ranged (15),,3d10+12,"Ranged (15), 1 Target",0,, 1 Target,,"Ranged (15), 1 Target",,3d10+12,,,,,,2,,Normal,Cool - 1d4 - Special Attention,,,0,Razor Wind, 1 Target,Special,2,,"Once you declare the use of Razor Wind, the user's turn ends. On its next turn, the user may shift and use Razor Wind's damage. Razor Wind is a Critical Hit on 18-20 during Accuracy Check.",,Cool - 1d4 - Special Attention,Battle,,,Battle,,Ranged (15),,,,Normal,Special,"Once you declare the use of Razor Wind, the user's turn ends. On its next turn, the user may shift and use Razor Wind's damage. Razor Wind is a Critical Hit on 18-20 during Accuracy Check."
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Normal,Smart - None - Reflective Appeal,,,0,Recover, No Target,Effect,0,,The user regains HP equal to half of its full HP.,,Smart - None - Reflective Appeal,Center,,,Center,,Self,,,,Normal,Effect,The user regains HP equal to half of its full HP.
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Normal,Smart - None - Attention Grabber,,,0,Recycle, No Target,Effect,0,,The effect of a consumable item used earlier in the encounter is used again as if it had not been destroyed. The item is still gone.,,Smart - None - Attention Grabber,Center,,,Center,,Self,,,,Normal,Effect,The effect of a consumable item used earlier in the encounter is used again as if it had not been destroyed. The item is still gone.
Ranged (10),,-,"Ranged (10), 1 Target",0,, 1 Target,,"Ranged (10), 1 Target",,-,,,,,,2,,Normal,Beauty - None - Attention Grabber,,,0,Reflect Type, 1 Target,Effect,2,,Reflect Type changes one of the user's Types into one Type of your choice that the target has for 1d4+1 turns.,,Beauty - None - Attention Grabber,Battle,,,Battle,,Ranged (10),,,,Normal,Effect,Reflect Type changes one of the user's Types into one Type of your choice that the target has for 1d4+1 turns.
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Normal,Cute - None - Reflective Appeal,,,0,Refresh, No Target,Effect,0,,The user is cured of all Status ailments.,,Cute - None - Reflective Appeal,Battle,,,Battle,,Self,,,,Normal,Effect,The user is cured of all Status ailments.
Melee,,3d8+10,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,3d8+10,,,,,,2,,Normal,Cool - 3d4 - No Effect,,,0,Retaliate, 1 Target,Physical,2,,Retaliate deals 6d12+22 instead for Damage Dice Roll if an ally has been lowered to 0 HP or less by the target's Moves (or Features) during the current round of combat or during the last round of combat.,,Cool - 3d4 - No Effect,Center,,,Center,,Melee,,,,Normal,Physical,Retaliate deals 6d12+22 instead for Damage Dice Roll if an ally has been lowered to 0 HP or less by the target's Moves (or Features) during the current round of combat or during the last round of combat.
Melee,,4d12+16,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,4d12+16,,,,,,2,,Normal,Cute - 1d4 - Round Starter,,,0,Return, 1 Target,Physical,2,,The user may only use Return if its Loyalty is 3 or 4.,,Cute - 1d4 - Round Starter,EOT,,,EOT,,Melee,,,,Normal,Physical,The user may only use Return if its Loyalty is 3 or 4.
Ranged (6),,-,"Ranged (6), 1 Target",0,, 1 Target,,"Ranged (6), 1 Target",,-,,,,,,11,,Normal,Cool - 2d4 - Excitement,,,0,Roar, 1 Target,Effect,11,,"The target flees away from the user 15 meters, ignoring Speed Capabilities, if terrain allows. The target may not use Moves for 4 rounds. During a trainer battle, the target's owner must recall the fleeing target and replace them.",,Cool - 2d4 - Excitement,Battle,,,Battle,,Ranged (6),,,,Normal,Effect,"The target flees away from the user 15 meters, ignoring Speed Capabilities, if terrain allows. The target may not use Moves for 4 rounds. During a trainer battle, the target's owner must recall the fleeing target and replace them."
Ranged (6),,-,"Ranged (6), 1 Target",0,, 1 Target,,"Ranged (6), 1 Target",,-,,,,,,2,,Normal,Tough - 2d4 - Slow Set,,,0,Scary Face, 1 Target,Effect,2,,The target's Speed is lowered 2 Combat Stages.,,Tough - 2d4 - Slow Set,EOT,,,EOT,,Ranged (6),,,,Normal,Effect,The target's Speed is lowered 2 Combat Stages.
Self,,-,"Self, 1 Target",0,, 1 Target,,"Self, 1 Target",,-,,,,,,0,,Normal,Cute - None - Get Ready!,,,0,Sharpen, 1 Target,Effect,0,,Raise the user's Attack 1 Combat Stage.,,Cute - None - Get Ready!,At-Will,,,At-Will,,Self,,,,Normal,Effect,Raise the user's Attack 1 Combat Stage.
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Normal,Tough - None - Get Ready!,,,0,Shell Smash, No Target,Effect,0,,"Raise the user's Attack 2 Combat Stages, raise the user's Special Attack 2 Combat Stages and raise the user's Speed 2 Combat Stages Lower the user's Defense 1 Combat Stage and lower the user's Special Defense 1 Combat Stage.",,Tough - None - Get Ready!,Center,,,Center,,Self,,,,Normal,Effect,"Raise the user's Attack 2 Combat Stages, raise the user's Special Attack 2 Combat Stages and raise the user's Speed 2 Combat Stages Lower the user's Defense 1 Combat Stage and lower the user's Special Defense 1 Combat Stage."
Ranged (7),,-,"Ranged (7), 1 Target",0,, 1 Target,,"Ranged (7), 1 Target",,-,,,,,,2,,Normal,Beauty - 3d4 - No Effect,,,0,Simple Beam, 1 Target,Effect,2,,Simple Beam changes one of the target's abilities to Simple for the remainder of the encounter.,,Beauty - 3d4 - No Effect,Battle,,,Battle,,Ranged (7),,,,Normal,Effect,Simple Beam changes one of the target's abilities to Simple for the remainder of the encounter.
Ranged (25),,-,"Ranged (25), 1 Target",0,, 1 Target,,"Ranged (25), 1 Target",,-,,,,,,0,,Normal,Smart - 1d4 - Catching Up,,,0,Sketch, 1 Target,Effect,0,,"Sketch cannot miss. Once Sketch has been used, remove Sketch from the user's Move list. The last Move that the target used is added to the user's Move list permanently. Sketch may not be Interrupted or Intercepted.",,Smart - 1d4 - Catching Up,Center,,,Center,,Ranged (25),,,,Normal,Effect,"Sketch cannot miss. Once Sketch has been used, remove Sketch from the user's Move list. The last Move that the target used is added to the user's Move list permanently. Sketch may not be Interrupted or Intercepted."
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Normal,Cute - None - Reflective Appeal,,,0,Slack Off, No Target,Effect,0,,The user regains HP equal to half of its full HP.,,Cute - None - Reflective Appeal,Center,,,Center,,Self,,,,Normal,Effect,The user regains HP equal to half of its full HP.
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Normal,Cute - 3d4 - No Effect,,,0,Sleep Talk, No Target,Effect,0,,"The user randomly uses one of their other Moves, ignoring Frequencies. Sleep Talk can only be used while the user is Asleep.",,Cute - 3d4 - No Effect,Battle,,,Battle,,Self,,,,Normal,Effect,"The user randomly uses one of their other Moves, ignoring Frequencies. Sleep Talk can only be used while the user is Asleep."
Melee,,2d10+8,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,2d10+8,,,,,,2,,Normal,Smart - None - Unsettling,,,0,SmellingSalt, 1 Target,Physical,2,,"If the target is Paralyzed, SmellingSalt does 4d12+16 instead for Damage Dice Roll and cures the target of Paralysis.",,Smart - None - Unsettling,Battle,,,Battle,,Melee,,,,Normal,Physical,"If the target is Paralyzed, SmellingSalt does 4d12+16 instead for Damage Dice Roll and cures the target of Paralysis."
Melee,,-,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,-,,,,,,0,,Normal,Beauty - None - Reflective Appeal,,,0,Softboiled, 1 Target,Effect,0,,The target regains HP equal to half of its full HP. The user may target themselves with Softboiled.,,Beauty - None - Reflective Appeal,Center,,,Center,,Melee,,,,Normal,Effect,The target regains HP equal to half of its full HP. The user may target themselves with Softboiled.
Ranged (8),,See Effect,"Ranged (8), 1 Target",0,, 1 Target,,"Ranged (8), 1 Target",,See Effect,,,,,,2,,Normal,Tough - 2d4 - Round Ender,,,0,Spit Up, 1 Target,Special,2,,"If the user is Stockpiled 1, use 3d10+12 for Spit Up's Damage Dice Roll; if the user is Stockpiled 2, use 4d12+16; if the user is Stockpiled 3, use 5d12+18. After using Spit Up, the user's Stockpiled count is set to 0. If the user has no Stockpiled count, Spit Up does nothing.",,Tough - 2d4 - Round Ender,Battle,,,Battle,,Ranged (8),,,,Normal,Special,"If the user is Stockpiled 1, use 3d10+12 for Spit Up's Damage Dice Roll; if the user is Stockpiled 2, use 4d12+16; if the user is Stockpiled 3, use 5d12+18. After using Spit Up, the user's Stockpiled count is set to 0. If the user has no Stockpiled count, Spit Up does nothing."
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Normal,Cute - None - Inversed Appeal,,,0,Splash, No Target,Effect,0,,-,,Cute - None - Inversed Appeal,At-Will,,,At-Will,,Self,,,,Normal,Effect,-
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Normal,Tough - None - Get Ready!,,,0,Stockpile, No Target,Effect,0,,"The user adds 1 to their Stockpiled count to a maximum of 3. For each number a Stockpiled count is above 0, raise the user's Defense 1 Combat Stage and raise the user's Special Defense 1 Combat Stage. If a Stockpiled count is set to 0, the Combat Stages gained from the Stockpiled count are removed. Stockpile may not be used unless the user knows Spit Up or Swallow. *Grants: Inflatable",,Tough - None - Get Ready!,At-Will,,,At-Will,,Self,,,,Normal,Effect,"The user adds 1 to their Stockpiled count to a maximum of 3. For each number a Stockpiled count is above 0, raise the user's Defense 1 Combat Stage and raise the user's Special Defense 1 Combat Stage. If a Stockpiled count is set to 0, the Combat Stages gained from the Stockpiled count are removed. Stockpile may not be used unless the user knows Spit Up or Swallow. *Grants: Inflatable"
